nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,20,1.0,0.01,2.0,90,2,0,1.9448583773155757e+55,9.724291886577891e+53,11471.250763315826,4.2387205631085456e+54,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,1,1.2708795631320965e+33,6.354397829435712e+31,11471.250763315826,2.7698177922359383e+32,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,2,2.0603931722011072e+18,1.0505741330473984e+17,11471.250763315826,4.486724751915593e+17,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,3,735535139.8397437,37331068.37101321,11471.250763315826,160181796.934673,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,4,1281612.631888949,220558.71895923326,11471.250763315826,291575.99666793144,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,5,721764.0164615752,173737.39954395624,11471.250763315826,164888.0784591496,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,6,237622.0984059517,84000.28455155955,11471.250763315826,51923.08013955855,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,7,138365.41739620292,59274.85233827929,11471.250763315826,31027.19608227631,0.034859840810256726,[71.0317577  42.98366589 73.91606527 24.62125511 42.63290929 21.12351189 48.41547028 37.83302407 81.24369384 24.92621278 58.91479032 38.22245308  6.93341917 69.47572638 44.59519576]
150,20,1.0,0.01,2.0,90,2,8,199367.9203631554,72181.49314792219,11243.331031979627,50594.88806643225,0.1416009938854007,[55.00064565 55.78187077 27.64545508 47.81848454 73.12693111 68.2882483 30.07700138 37.8026838  57.87040845 79.12409026 32.17096977 17.14916498 76.15401003 56.10944148 68.78904358]
150,20,1.0,0.01,2.0,90,2,9,132518.8719361237,44105.1493963583,8860.427661479334,31944.07865906795,0.0034810131625955267,[57.74423961 56.98122866 28.33051756 47.89523546 74.44903872 81.95107088 30.48353066 23.33263556 61.82805473 38.64524484 51.59552985 22.24977815 74.254872   27.77718435 60.54651899]
150,20,1.0,0.01,2.0,90,2,10,82313.56884646701,30641.042388992268,7278.401152600124,23581.931017214254,0.1189368172781956,[73.03748997 58.09060124 18.01504825 49.84186084 87.74351655 61.78717022 28.99193361 75.0618374  61.11723608 62.61744594 85.00571197 22.98238684 57.09096366 55.40205604 64.96854563]
150,20,1.0,0.01,2.0,90,2,11,47783.56508931457,20538.155046521486,7278.401152600124,10130.698603849542,0.1189368172781956,[73.03748997 58.09060124 18.01504825 49.84186084 87.74351655 61.78717022 28.99193361 75.0618374  61.11723608 62.61744594 85.00571197 22.98238684 57.09096366 55.40205604 64.96854563]
150,20,1.0,0.01,2.0,90,2,12,31046.556481640222,18776.759236676964,7211.78092615156,8142.680261426247,0.0925471373586528,[75.72055121 51.93044085 26.99154852 12.47292414 82.72814603 63.13240321 77.97352504 76.93147429 62.51823987 88.11699574 18.37593679 18.39249719 59.36214544 85.82748607 71.15127682]
150,20,1.0,0.01,2.0,90,2,13,22872.620435734447,13519.119946857423,4026.138690765809,5425.661463655861,0.04872105029093311,[66.57056512 64.51029795 29.75039386 55.2656203  60.13437654 67.90502845 51.93649834 31.18811033 61.83247765 57.02306364 74.33193329 23.30909799 83.75091011 62.30482749 63.7519267 ]
150,20,1.0,0.01,2.0,90,2,14,37427.68724319232,11986.170005083037,4026.138690765809,7255.638902267322,0.04872105029093311,[66.57056512 64.51029795 29.75039386 55.2656203  60.13437654 67.90502845 51.93649834 31.18811033 61.83247765 57.02306364 74.33193329 23.30909799 83.75091011 62.30482749 63.7519267 ]
150,20,1.0,0.01,2.0,90,2,15,23807.487589021683,10315.607852040954,4026.138690765809,5081.617694918198,0.04872105029093311,[66.57056512 64.51029795 29.75039386 55.2656203  60.13437654 67.90502845 51.93649834 31.18811033 61.83247765 57.02306364 74.33193329 23.30909799 83.75091011 62.30482749 63.7519267 ]
150,20,1.0,0.01,2.0,90,2,16,17625.948944263986,8587.769367204164,3299.1754401538424,4066.006759152409,0.07142210484430463,[82.57615131 51.60974062 33.65674575 45.82912966 63.36269931 85.7728854 61.87780432 51.81477293 61.71859536 39.91833772 66.02484346 19.53349892 47.95666792 68.60463876 66.33202047]
150,20,1.0,0.01,2.0,90,2,17,14386.24818989494,8159.831272925153,3299.1754401538424,2954.854728739584,0.07142210484430463,[82.57615131 51.60974062 33.65674575 45.82912966 63.36269931 85.7728854 61.87780432 51.81477293 61.71859536 39.91833772 66.02484346 19.53349892 47.95666792 68.60463876 66.33202047]
150,20,1.0,0.01,2.0,90,2,18,21947.952916878152,7845.645048318768,2996.9276874412217,4607.7307272260205,0.09061556519035953,[78.4816126  56.66413646 25.96098549 24.4921111  66.88142062 74.28786889 66.77947201 44.726412   72.27419177 42.51083194 61.51740659 48.34553964 58.87307088 80.72781126 68.30783043]
150,20,1.0,0.01,2.0,90,2,19,77084.75442284036,10966.596613130401,2996.9276874412217,15883.987913632885,0.09061556519035953,[78.4816126  56.66413646 25.96098549 24.4921111  66.88142062 74.28786889 66.77947201 44.726412   72.27419177 42.51083194 61.51740659 48.34553964 58.87307088 80.72781126 68.30783043]
150,20,1.0,0.01,2.0,90,2,20,9853.909744067867,6180.028927140428,2996.9276874412217,2118.7006483309815,0.09061556519035953,[78.4816126  56.66413646 25.96098549 24.4921111  66.88142062 74.28786889 66.77947201 44.726412   72.27419177 42.51083194 61.51740659 48.34553964 58.87307088 80.72781126 68.30783043]
150,20,1.0,0.01,2.0,90,2,21,14257.55785763447,5610.934229117453,1681.9910034826423,3218.422219205356,0.014222500329385362,[78.76816515 59.23403735 39.49761705 39.36328768 67.71188866 85.63983175 61.87195185 56.21106534 54.08938789 59.99335303 50.83581392 57.61169497 10.1398289  65.93744458 69.2061971 ]
150,20,1.0,0.01,2.0,90,2,22,7683.411907279271,4649.633998584836,1158.7550430674778,1511.4625994550188,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,23,8569.763436835796,5044.837850123475,1158.7550430674778,2045.782097817321,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,24,10591.729648753271,4429.279263813981,1158.7550430674778,2010.2093616298107,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,25,11826.222977642157,4995.940776601228,1158.7550430674778,2538.5190708406963,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,26,9309.67361398596,4245.353703325787,1158.7550430674778,2090.1483703285357,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,27,8496.212676964362,4060.0848772186655,1158.7550430674778,1889.612551975887,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
150,20,1.0,0.01,2.0,90,2,28,8322.664978246867,3350.380179980652,1158.7550430674778,1399.5530001796926,0.012820806796299456,[89.96842551 60.71857907 50.89625201 45.69838731 52.43678538 85.0234633 54.64284348 54.08630181 59.35486551 43.13900034 69.58364527 34.78841363 39.3524592  71.21713279 69.64267579]
