nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,50,0.8,0.05,2.0,90,4,0,4.072071571754881e+58,8.156935196889557e+56,21443.379571278798,5.700719380960054e+57,0.1450310302601876,[37.55552308 74.27436563 74.43927643 47.98263961  4.69009114 35.98001822 63.47630719 67.83273313 50.04085308 37.35540606 16.05059036 37.87666374 46.79004121 76.20036585 50.92492242]
150,50,0.8,0.05,2.0,90,4,1,1.3455411674033367e+37,2.71131126381497e+35,9042.42985006321,1.8835218563758884e+36,0.16851289685568652,[57.95822988 73.32095968 30.61505519 63.56567971 40.57567223 71.24003253 45.24731029 84.78507317 45.75572567 23.01093829 23.39873706 68.7114789 38.70671245 37.13987544 67.38378171]
150,50,0.8,0.05,2.0,90,4,2,1.6589453922540445e+22,3.3182182592771326e+20,7041.862620906863,2.322518882216701e+21,0.08480052010063648,[59.67708487 50.62079228 70.39831704 73.46342319  9.02723389 30.18608441 47.84716696 62.0533322  63.64493956 62.96288373 45.75569084 18.64679658 34.5071088  45.82967744 64.38965881]
150,50,0.8,0.05,2.0,90,4,3,2.241821729950675e+33,4.573957867163919e+31,5012.366345681808,3.1378968718126736e+32,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,4,1.786623006665779e+27,3.5732460342113935e+25,5012.366345681808,2.5012722090338072e+26,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,5,1.256416327481648e+19,2.5128327239891622e+17,5012.366345681808,1.7589828574882243e+18,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,6,6955786.617226433,328013.5912974407,5012.366345681808,980880.5462531586,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,7,1.0209617991428739e+54,2.0419235982857477e+52,5012.366345681808,1.4293465188000233e+53,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,8,2998915.721769182,404216.00699734554,5012.366345681808,714789.8893542364,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,9,8355644.242551698,323957.4632444132,5012.366345681808,1196236.4344133723,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
150,50,0.8,0.05,2.0,90,4,10,1830822194157612.2,36616444120944.02,5012.366345681808,256315107148095.47,0.08049045587071646,[47.31178243 61.56867936 32.61328141 80.97352318 25.62130624 62.12101408 39.28384794 46.47123754 45.84268145 21.16544359 37.5434608  42.99838619 44.00930778 46.94876741 74.85658405]
