nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
70,50,0.8,0.01,2.0,70,4,0,6.60614026239554e+58,1.3229169667202386e+57,39555.50741204603,9.248356984477569e+57,0.1450310302601876,[29.20985129 57.76895105 57.897215   37.31983081  3.64784867 27.98445862 49.37046114 52.75879244 38.9206635  29.05420471 12.48379251 29.45962736 36.39225427 59.26695122 39.608273  ]
70,50,0.8,0.01,2.0,70,4,1,6.238484237809486e+54,1.4167821586850462e+53,39555.50741204603,8.736528717065063e+53,0.1450310302601876,[29.20985129 57.76895105 57.897215   37.31983081  3.64784867 27.98445862 49.37046114 52.75879244 38.9206635  29.05420471 12.48379251 29.45962736 36.39225427 59.26695122 39.608273  ]
70,50,0.8,0.01,2.0,70,4,2,1.0042257859141103e+49,2.008873399671261e+47,39555.50741204603,1.4059100894092364e+48,0.1450310302601876,[29.20985129 57.76895105 57.897215   37.31983081  3.64784867 27.98445862 49.37046114 52.75879244 38.9206635  29.05420471 12.48379251 29.45962736 36.39225427 59.26695122 39.608273  ]
70,50,0.8,0.01,2.0,70,4,3,1.2416464353395523e+52,2.4832928725155402e+50,31347.466972526938,1.7383050094491384e+51,0.1214164380709969,[54.74157707 30.74933475 30.14171814 22.58736123 39.57246662 16.005824 42.20902475 27.94240115 21.41035733 42.65631496 49.07554281 34.73418175 17.16202913 22.11745603 43.18439223]
70,50,0.8,0.01,2.0,70,4,4,2.554570664254856e+34,5.205043121247916e+32,31347.466972526938,3.575657627211097e+33,0.1214164380709969,[54.74157707 30.74933475 30.14171814 22.58736123 39.57246662 16.005824 42.20902475 27.94240115 21.41035733 42.65631496 49.07554281 34.73418175 17.16202913 22.11745603 43.18439223]
70,50,0.8,0.01,2.0,70,4,5,1.9662279044743987e+17,7553818184293080.0,31347.466972526938,3.5294535586142564e+16,0.1214164380709969,[54.74157707 30.74933475 30.14171814 22.58736123 39.57246662 16.005824 42.20902475 27.94240115 21.41035733 42.65631496 49.07554281 34.73418175 17.16202913 22.11745603 43.18439223]
70,50,0.8,0.01,2.0,70,4,6,14017771369410.85,374688882670.1121,25473.378513727737,2057708599497.7175,0.1191029617984458,[50.03182337 24.81007126 46.512766   18.55508929 42.76240209 18.7254854 43.99235693 38.3080957  61.72580404 51.90476866 30.41332634 31.67137629 62.27463744 30.63693163 45.02201001]
70,50,0.8,0.01,2.0,70,4,7,328841616.85531753,9547050.009147227,25473.378513727737,46780790.39746017,0.1191029617984458,[50.03182337 24.81007126 46.512766   18.55508929 42.76240209 18.7254854 43.99235693 38.3080957  61.72580404 51.90476866 30.41332634 31.67137629 62.27463744 30.63693163 45.02201001]
70,50,0.8,0.01,2.0,70,4,8,4058754.198257819,810691.2426015696,17179.442031813127,1205745.8684862196,0.09611571040363695,[50.90047738 28.99103254 55.81463966 32.73634016 43.5702839  48.04211344 49.7541172  29.56993523 22.47862145 39.72501336 29.12132961 28.43071839 51.16587244 23.67178752 68.07673443]
70,50,0.8,0.01,2.0,70,4,9,2358265.42439187,343868.2414194609,17179.442031813127,471523.4168731751,0.09611571040363695,[50.90047738 28.99103254 55.81463966 32.73634016 43.5702839  48.04211344 49.7541172  29.56993523 22.47862145 39.72501336 29.12132961 28.43071839 51.16587244 23.67178752 68.07673443]
70,50,0.8,0.01,2.0,70,4,10,4618954.370785705,342908.3275963036,17179.442031813127,674169.067779564,0.09611571040363695,[50.90047738 28.99103254 55.81463966 32.73634016 43.5702839  48.04211344 49.7541172  29.56993523 22.47862145 39.72501336 29.12132961 28.43071839 51.16587244 23.67178752 68.07673443]
70,50,0.8,0.01,2.0,70,4,11,14721467.953552445,772773.4574041368,17179.442031813127,2484342.2148090387,0.09611571040363695,[50.90047738 28.99103254 55.81463966 32.73634016 43.5702839  48.04211344 49.7541172  29.56993523 22.47862145 39.72501336 29.12132961 28.43071839 51.16587244 23.67178752 68.07673443]
70,50,0.8,0.01,2.0,70,4,12,1095856.5727185044,179964.11399842403,11691.895317879722,220870.68303111903,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,13,748873.2746781218,178763.41605210173,11691.895317879722,199130.7221745766,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,14,650793.1818582605,151475.41667793575,11691.895317879722,138545.7437111281,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,15,264055.0291086393,80952.79103666848,11691.895317879722,53952.92771985544,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,16,200754.94465363052,77460.25013179674,11691.895317879722,45164.85549039096,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,17,188993.21292199657,71707.6801121214,11691.895317879722,39525.9565322496,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,18,458260.89836947765,82136.9552067437,11691.895317879722,88093.18869076778,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,19,4.488457757497428e+28,9.03286206580606e+26,11691.895317879722,6.283163623442631e+27,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,20,656041.4396301755,99808.22163937964,11691.895317879722,98509.62526256935,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,21,921289.1119268774,127905.24130981952,11691.895317879722,149462.1818698603,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,22,917634.8720334151,139486.7899658772,11691.895317879722,150843.2893011457,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,23,507173.5355914001,128629.85339070145,11691.895317879722,103266.09421384854,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,24,511408.5373668827,123997.12694226649,11691.895317879722,124973.70617085266,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
70,50,0.8,0.01,2.0,70,4,25,493203.7624378317,109683.30380914827,11691.895317879722,101933.82308312946,0.04647574193039954,[58.64333732 55.00377436 31.17847525 39.70576755 40.3295756  13.66333974 42.2495856  37.90287546 30.99400169 34.61311834 30.39148115 33.11971357 15.68370244 20.98950082 56.6166727 ]
