nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,20,1.0,0.01,2.0,110,0,0,6.893843140419983e+54,3.4469215702100044e+53,4845.850349503956,1.5024782790855887e+54,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
150,20,1.0,0.01,2.0,110,0,1,14269746971341.83,713488878683.0618,4845.850349503956,3110018898867.6987,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
150,20,1.0,0.01,2.0,110,0,2,10160269.377872532,910268.6438518256,4845.850349503956,2169186.5926086386,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
150,20,1.0,0.01,2.0,110,0,3,11460873.832086133,792765.7192253254,4845.850349503956,2454204.7208772986,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
150,20,1.0,0.01,2.0,110,0,4,801521.0995380272,218859.19734207494,4845.850349503956,202698.29452112823,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
150,20,1.0,0.01,2.0,110,0,5,608687.245505877,158868.1329686611,4376.798366989064,171697.0736401251,0.1178646296550441,[71.62166787 60.46771503 71.07705715 86.63726686 46.04249961 92.33991574 62.54588319 38.07697422 97.53032122 42.11675291 85.33557815 26.07549602 60.59313774 99.08674126 51.92087395]
150,20,1.0,0.01,2.0,110,0,6,822849.6458664944,99007.86240796358,4376.798366989064,179419.61937230817,0.1178646296550441,[71.62166787 60.46771503 71.07705715 86.63726686 46.04249961 92.33991574 62.54588319 38.07697422 97.53032122 42.11675291 85.33557815 26.07549602 60.59313774 99.08674126 51.92087395]
150,20,1.0,0.01,2.0,110,0,7,195158.6652280218,51692.06235592841,4376.798366989064,51602.44755273366,0.1178646296550441,[71.62166787 60.46771503 71.07705715 86.63726686 46.04249961 92.33991574 62.54588319 38.07697422 97.53032122 42.11675291 85.33557815 26.07549602 60.59313774 99.08674126 51.92087395]
150,20,1.0,0.01,2.0,110,0,8,553674.998182519,73909.114444565,4376.798366989064,130766.36108511525,0.1178646296550441,[71.62166787 60.46771503 71.07705715 86.63726686 46.04249961 92.33991574 62.54588319 38.07697422 97.53032122 42.11675291 85.33557815 26.07549602 60.59313774 99.08674126 51.92087395]
150,20,1.0,0.01,2.0,110,0,9,297408.9108610832,68777.5694526587,4376.798366989064,78154.23118337926,0.1178646296550441,[71.62166787 60.46771503 71.07705715 86.63726686 46.04249961 92.33991574 62.54588319 38.07697422 97.53032122 42.11675291 85.33557815 26.07549602 60.59313774 99.08674126 51.92087395]
150,20,1.0,0.01,2.0,110,0,10,112222.72430035315,31907.424780687736,3067.635406130501,29126.9096891498,0.01237711431305112,[63.10311659 90.35054513 32.52278932 38.02112354 55.32930736 71.29602442 64.05207751 91.15265161 76.24430786 45.4149412  97.81238964 15.38665881 62.6483693  35.50894358 72.07654406]
150,20,1.0,0.01,2.0,110,0,11,289739.2602930775,36482.14494672742,2658.81001229642,61682.30671616198,0.12440967017743318,[101.32961053  78.75264435  33.61571253  61.19370368  54.94099631  80.49137484  60.49486862  64.86310224  44.25060184  47.36719949  97.647241    17.24755573  38.66342196  40.48466151  79.9757609 ]
150,20,1.0,0.01,2.0,110,0,12,74842.12690333251,24402.260109189716,2091.8614303153868,22245.186368743078,0.07412836799257295,[108.58221941  83.13650614  31.91480825  60.42497414  56.10891672  71.53154587  73.12594186  64.91916909  46.85351262  46.70846191  95.83460313  20.23635678  39.13032699  63.33481775  74.2083181 ]
150,20,1.0,0.01,2.0,110,0,13,100266.44391202259,14470.350637353276,1949.477247960505,20592.34027461454,0.0827159799650195,[80.72443782 90.84715375 51.0476677  30.02429685 58.50969637 73.04838124 90.58934717 82.59788816 73.80883628 44.52864461 97.2956259  30.94621027 68.58202204 44.50165701 74.00866682]
150,20,1.0,0.01,2.0,110,0,14,33137.82323793562,10606.227651945135,1135.6043868758968,8799.275514990817,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,15,28060.1229645658,7187.336197324138,1135.6043868758968,5603.976929284173,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,16,30120.0815843939,7791.8806223168185,1135.6043868758968,6522.28020249812,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,17,32703.787986930634,7117.754801491076,1135.6043868758968,6884.492139540262,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,18,12974.294582183626,6067.47591779624,1135.6043868758968,3512.8447080166725,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,19,9698.622804456456,4496.891427631794,1135.6043868758968,2288.192086141281,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,20,25504.13243941509,4794.959845945612,1135.6043868758968,5080.0570225610045,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,21,7957.056613405244,3567.9682600253495,1135.6043868758968,1654.6478115138248,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,22,8391.908861321119,3200.906469349599,1135.6043868758968,1629.7491471858627,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,23,5739.625920569333,2741.864625307212,1135.6043868758968,1368.9075603117037,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,24,4777.164525175964,2444.2667499180016,1135.6043868758968,966.7918799448302,0.0332992414283172,[96.28496257 91.93003506 51.04641984 29.52669762 56.89608071 71.39172073 65.68747684 84.78921199 71.13198704 41.71130244 97.3433002  34.58927948 75.17462614 45.50507965 75.05868546]
150,20,1.0,0.01,2.0,110,0,25,57749.96329912803,6236.125984152261,1110.2859195785888,12221.353823816704,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,26,18654.467241563085,4722.252018856653,1110.2859195785888,3779.237770093662,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,27,7574.29530350662,3924.851009894953,1110.2859195785888,2025.8640335837024,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,28,24687.660665708725,5566.068211734998,1110.2859195785888,5032.473240440044,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,29,8292.096176533025,3828.392752308597,1110.2859195785888,2259.7371743058047,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,30,7650.841074272629,2675.667859488377,1110.2859195785888,1494.1526430702268,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,31,6714.584022923851,2434.7939507149954,1110.2859195785888,1170.681608143261,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,32,186623.78693381656,11288.547790692974,1110.2859195785888,40231.69815672547,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,33,4041.7831750338178,2011.5580761996748,1110.2859195785888,723.0738957805637,0.051902439868495916,[ 88.90925616 106.60277382  44.29757747  40.50039928  58.24111368  70.13042108  47.65885601  68.86679479  67.70088601  37.30297867  99.08236999  98.47489383  38.16354844  39.59677376 101.85481091]
150,20,1.0,0.01,2.0,110,0,34,4105.163901975639,1804.279287706535,1023.3624025344271,678.1451171983183,0.038254068767541755,[93.08065614 84.59559992 32.83566912 83.45143409 61.58398012 78.41313043 43.21976564 65.27982282 47.41454077 56.78423288 92.70183382 83.46444516 40.73363321 55.01657539 69.25894023]
150,20,1.0,0.01,2.0,110,0,35,2353.293609982757,1661.7263790809884,1023.3624025344271,390.44060245516437,0.038254068767541755,[93.08065614 84.59559992 32.83566912 83.45143409 61.58398012 78.41313043 43.21976564 65.27982282 47.41454077 56.78423288 92.70183382 83.46444516 40.73363321 55.01657539 69.25894023]
150,20,1.0,0.01,2.0,110,0,36,2596.5358588465756,1600.4598245931927,1023.3624025344271,415.3004904379454,0.038254068767541755,[93.08065614 84.59559992 32.83566912 83.45143409 61.58398012 78.41313043 43.21976564 65.27982282 47.41454077 56.78423288 92.70183382 83.46444516 40.73363321 55.01657539 69.25894023]
150,20,1.0,0.01,2.0,110,0,37,5843.684956500796,1781.1169746503942,1023.3624025344271,976.1617831506911,0.038254068767541755,[93.08065614 84.59559992 32.83566912 83.45143409 61.58398012 78.41313043 43.21976564 65.27982282 47.41454077 56.78423288 92.70183382 83.46444516 40.73363321 55.01657539 69.25894023]
150,20,1.0,0.01,2.0,110,0,38,2050.0601238257213,1470.184510851444,935.3783196435918,287.48505888860177,0.0637072724999517,[99.28702325 84.00834747 50.34248916 61.41249674 63.36987035 80.24923195 47.95752433 68.44162064 87.02919856 46.05818645 95.0871729  76.97748182 34.93422663 66.45109191 71.91680456]
150,20,1.0,0.01,2.0,110,0,39,3008.869334795249,1708.6588815477214,935.3783196435918,521.8170303271187,0.0637072724999517,[99.28702325 84.00834747 50.34248916 61.41249674 63.36987035 80.24923195 47.95752433 68.44162064 87.02919856 46.05818645 95.0871729  76.97748182 34.93422663 66.45109191 71.91680456]
150,20,1.0,0.01,2.0,110,0,40,3283.6337408609706,1643.1671444430165,935.3783196435918,531.3861732496384,0.0637072724999517,[99.28702325 84.00834747 50.34248916 61.41249674 63.36987035 80.24923195 47.95752433 68.44162064 87.02919856 46.05818645 95.0871729  76.97748182 34.93422663 66.45109191 71.91680456]
150,20,1.0,0.01,2.0,110,0,41,5123.266069485804,1759.913742544673,935.3783196435918,923.9313649050171,0.0637072724999517,[99.28702325 84.00834747 50.34248916 61.41249674 63.36987035 80.24923195 47.95752433 68.44162064 87.02919856 46.05818645 95.0871729  76.97748182 34.93422663 66.45109191 71.91680456]
150,20,1.0,0.01,2.0,110,0,42,2924.846994798973,1603.1189083963786,875.6149809205187,473.3753139925052,0.024513878620924343,[94.46380061 87.5087777  34.55826031 67.68088178 59.2238508  62.63812015 46.40587238 59.81451265 81.0634775  59.62508212 93.38085938 80.97369342 50.60302503 49.54682632 89.17425407]
150,20,1.0,0.01,2.0,110,0,43,4236.10979919292,1758.314153125578,875.6149809205187,846.5277077985932,0.024513878620924343,[94.46380061 87.5087777  34.55826031 67.68088178 59.2238508  62.63812015 46.40587238 59.81451265 81.0634775  59.62508212 93.38085938 80.97369342 50.60302503 49.54682632 89.17425407]
150,20,1.0,0.01,2.0,110,0,44,2358.6333483816647,1604.3596192451039,875.6149809205187,342.3717678765471,0.024513878620924343,[94.46380061 87.5087777  34.55826031 67.68088178 59.2238508  62.63812015 46.40587238 59.81451265 81.0634775  59.62508212 93.38085938 80.97369342 50.60302503 49.54682632 89.17425407]
