nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,50,1.0,0.01,2.0,90,3,0,3.5686491026619826e+58,7.151572910192435e+56,25852.173361617843,4.9959076325790654e+57,0.1450310302601876,[37.55552308 74.27436563 74.43927643 47.98263961  4.69009114 35.98001822 63.47630719 67.83273313 50.04085308 37.35540606 16.05059036 37.87666374 46.79004121 76.20036585 50.92492242]
150,50,1.0,0.01,2.0,90,3,1,1.1588336244728573e+55,2.317823068094245e+53,7322.575079668901,1.622364851126435e+54,0.04561493796189206,[43.63660853 50.20438739 51.82916783 78.03423972 31.57420699 74.38731131 31.56176395 51.74330448 74.77353683 83.31095618 42.21403553 46.8619842 46.53047722 40.17139082 58.87306924]
150,50,1.0,0.01,2.0,90,3,2,8.070328559248057e+53,1.6141346629996832e+52,7007.022916449185,1.1298450141390278e+53,0.05209482627302118,[56.09507521 75.47714152  4.08273413 80.97588384 63.25998245 81.57694565 73.62841907 59.44165118 57.65992039 67.99135025 69.24485098 63.87223942 61.16035632 65.58273691 81.05430882]
150,50,1.0,0.01,2.0,90,3,3,1.5489089363381376e+49,3.6780965162532565e+47,7007.022916449185,2.1979662034853735e+48,0.05209482627302118,[56.09507521 75.47714152  4.08273413 80.97588384 63.25998245 81.57694565 73.62841907 59.44165118 57.65992039 67.99135025 69.24485098 63.87223942 61.16035632 65.58273691 81.05430882]
150,50,1.0,0.01,2.0,90,3,4,6.864973197350132e+38,1.4160552195701264e+37,6190.225121199694,9.607053461334207e+37,0.0624436183214088,[58.9085293  75.47752556 58.55714754 51.81863399 26.89260179 30.73525719 30.5634533  51.3884158  56.23673243 49.45090712 44.53787366 67.5071244 32.92871003 46.75112508 52.37479502]
150,50,1.0,0.01,2.0,90,3,5,4.005517361912463e+41,8.011043645351023e+39,6190.225121199694,5.607724179230552e+40,0.0624436183214088,[58.9085293  75.47752556 58.55714754 51.81863399 26.89260179 30.73525719 30.5634533  51.3884158  56.23673243 49.45090712 44.53787366 67.5071244 32.92871003 46.75112508 52.37479502]
150,50,1.0,0.01,2.0,90,3,6,2.1935138300771546e+26,4.3870276601543095e+24,6190.225121199694,3.0709193621080164e+25,0.0624436183214088,[58.9085293  75.47752556 58.55714754 51.81863399 26.89260179 30.73525719 30.5634533  51.3884158  56.23673243 49.45090712 44.53787366 67.5071244 32.92871003 46.75112508 52.37479502]
150,50,1.0,0.01,2.0,90,3,7,80599618769872.17,1611993179239.6387,6190.225121199694,11283946512947.605,0.0624436183214088,[58.9085293  75.47752556 58.55714754 51.81863399 26.89260179 30.73525719 30.5634533  51.3884158  56.23673243 49.45090712 44.53787366 67.5071244 32.92871003 46.75112508 52.37479502]
150,50,1.0,0.01,2.0,90,3,8,3854229.319009068,427907.37737214053,6190.225121199694,751999.5936858937,0.0624436183214088,[58.9085293  75.47752556 58.55714754 51.81863399 26.89260179 30.73525719 30.5634533  51.3884158  56.23673243 49.45090712 44.53787366 67.5071244 32.92871003 46.75112508 52.37479502]
150,50,1.0,0.01,2.0,90,3,9,5827364.260729079,314136.0452499293,5743.513001736903,834491.4900163375,0.005444548665665443,[49.17348079 37.98179054 22.74039042 23.48205867 86.48613088 60.23418682 76.52041346 47.81475273 28.00511706 65.75631481 14.98868298 52.38353602 37.73238882 49.35983409 71.42292209]
150,50,1.0,0.01,2.0,90,3,10,576188.2010155617,126303.55902894709,5743.513001736903,132070.62036846412,0.005444548665665443,[49.17348079 37.98179054 22.74039042 23.48205867 86.48613088 60.23418682 76.52041346 47.81475273 28.00511706 65.75631481 14.98868298 52.38353602 37.73238882 49.35983409 71.42292209]
150,50,1.0,0.01,2.0,90,3,11,683132.8318824018,131269.32009386146,4906.739922288161,164109.3970100616,0.02517497693978967,[57.83468722 46.72331536 30.73272676 55.76089582 40.1479168  55.21896833 84.44384183 52.08620745 66.65900042 30.47573292 38.32504569 45.02823261 44.53648977 53.94171613 69.13204054]
150,50,1.0,0.01,2.0,90,3,12,218893.41050174733,61525.09969313538,4906.739922288161,42178.09276251996,0.02517497693978967,[57.83468722 46.72331536 30.73272676 55.76089582 40.1479168  55.21896833 84.44384183 52.08620745 66.65900042 30.47573292 38.32504569 45.02823261 44.53648977 53.94171613 69.13204054]
150,50,1.0,0.01,2.0,90,3,13,178280.81730421583,40963.46464483027,4906.739922288161,34850.58035689279,0.02517497693978967,[57.83468722 46.72331536 30.73272676 55.76089582 40.1479168  55.21896833 84.44384183 52.08620745 66.65900042 30.47573292 38.32504569 45.02823261 44.53648977 53.94171613 69.13204054]
150,50,1.0,0.01,2.0,90,3,14,117329.65104901123,31297.399218834656,4578.29741187408,23766.788698897344,0.06144718088709435,[69.85515965 49.39426875 54.12284657 43.05732871 56.73792866 43.1337509 46.57654863 25.25455855 71.64161895 73.27339617 57.86766008 63.11488942 54.19595569 48.63362146 70.10367188]
150,50,1.0,0.01,2.0,90,3,15,85851.32570345397,28301.16924661391,4578.29741187408,20154.09413418109,0.06144718088709435,[69.85515965 49.39426875 54.12284657 43.05732871 56.73792866 43.1337509 46.57654863 25.25455855 71.64161895 73.27339617 57.86766008 63.11488942 54.19595569 48.63362146 70.10367188]
150,50,1.0,0.01,2.0,90,3,16,671038.965953814,46727.90674653216,3441.121989635724,97058.81634534159,0.008086249258161786,[59.82964002 56.04440299 36.66538922 53.20473381 43.83781789 15.80766067 56.30297254 32.96731204 46.02883995 41.18463824 49.11626823 65.16724479 13.02087683 57.26463371 73.8527648 ]
150,50,1.0,0.01,2.0,90,3,17,149405.06108637704,25817.255244103937,3441.121989635724,28763.05204265175,0.008086249258161786,[59.82964002 56.04440299 36.66538922 53.20473381 43.83781789 15.80766067 56.30297254 32.96731204 46.02883995 41.18463824 49.11626823 65.16724479 13.02087683 57.26463371 73.8527648 ]
150,50,1.0,0.01,2.0,90,3,18,92348.30971348153,17446.749020551615,3441.121989635724,16603.269046490284,0.008086249258161786,[59.82964002 56.04440299 36.66538922 53.20473381 43.83781789 15.80766067 56.30297254 32.96731204 46.02883995 41.18463824 49.11626823 65.16724479 13.02087683 57.26463371 73.8527648 ]
150,50,1.0,0.01,2.0,90,3,19,86151.1337906006,16576.191002427837,3411.0813077988987,13927.118486343545,0.008936211208533728,[53.54886171 59.09845594 59.67658427 49.52055611 44.22223766 41.33194592 68.56721124 37.19837612 37.36969496 53.35723045 52.00456537 57.42546502 32.86533937 62.31716208 86.81899466]
150,50,1.0,0.01,2.0,90,3,20,77186.69888844287,14593.8213543267,3411.0813077988987,12165.376517628536,0.008936211208533728,[53.54886171 59.09845594 59.67658427 49.52055611 44.22223766 41.33194592 68.56721124 37.19837612 37.36969496 53.35723045 52.00456537 57.42546502 32.86533937 62.31716208 86.81899466]
150,50,1.0,0.01,2.0,90,3,21,41489.92730454698,13207.481527951455,3163.713862555655,7770.125534704521,0.03665219718693753,[65.72516072 47.79325746 51.86976041 57.7326689  44.28904517 44.36650438 58.06042958 34.02012684 43.74641257 61.61614993 56.46783662 51.00657685 30.36192511 60.93697151 74.35359448]
