nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,20,1.0,0.05,2.0,70,1,0,2.4606979684587747e+59,1.2306163586435599e+58,74338.94102992884,5.362905672838548e+58,0.40256453640385237,[65.49630549 27.31316383 21.54222713 32.21906038 19.54246981  9.33003724 31.20255625 28.60203234 12.00535403 67.45048018 34.30155597 67.78325868 60.97943249 49.36616811 55.02806137]
150,20,1.0,0.05,2.0,70,1,1,8.155004925399062e+51,5.213797874895457e+50,57837.388948778644,1.807410900370145e+51,0.009255602740471745,[39.08429773 60.75382507  7.79349601 56.41827892 33.0043702  13.35765151 28.63108228  4.98835244 22.7226231  38.76409142 39.91345511 11.69538822 14.93599687 69.22371199 41.18850636]
150,20,1.0,0.05,2.0,70,1,2,8.169551485902866e+20,4.084775742952543e+19,50290.42508807653,1.7805124670551317e+20,0.3462472361618121,[60.31670544 20.76970749 24.65647926 30.10034231 14.55586087 13.02586799 28.78205897 59.68731407 43.95183475 43.22577475 36.5881705  46.2393335 50.06910229 41.91742932 61.09197458]
150,20,1.0,0.05,2.0,70,1,3,173756162.37068716,18910948.91055981,41999.52647162511,48810304.880319916,0.12346136871305752,[49.33173629 18.09909626 35.43208939 27.17658291 32.57932229  9.2818994 17.83297087 16.61996921  4.79449538 33.50355621 41.84630313 56.01590246 62.72270399 45.15860346 57.82191132]
150,20,1.0,0.05,2.0,70,1,4,489563709.8960374,35443582.219609775,38414.05512830153,108555631.50752154,0.33841583025018407,[51.48277314 61.58316307 65.33687773 29.24048716 38.35084701 26.95313472 52.86274696 63.94433398  6.85805029 34.44706395 50.62148806 36.85901291 64.45007721 59.7379022  55.0143575 ]
150,20,1.0,0.05,2.0,70,1,5,1250018371.391315,67137115.35838401,30911.7060913215,271598205.2312437,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,6,8944284.053554507,861253.9537689419,30911.7060913215,1999694.7967961861,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,7,619671.8486684419,176562.4737641832,30911.7060913215,148716.77826800421,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,8,412796.40567097085,120543.9671332195,30911.7060913215,89500.8596870465,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,9,291324.39198499935,104548.26702636886,30911.7060913215,62017.287422872716,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,10,282339.4444834034,116589.326682048,30911.7060913215,63942.23401881331,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,11,154839.0177814537,83372.84878233532,30911.7060913215,30544.9958412813,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,12,254986.57171109764,83218.80386374294,30911.7060913215,52209.94722581962,0.03140655478324108,[39.35498975 42.00384303 44.34751495 52.91600059 33.78184151 18.48150569 40.84218335 61.27481582 39.04960851 26.27087213 65.43286679 44.4652466 31.64881377 30.68469582 27.86701493]
150,20,1.0,0.05,2.0,70,1,13,162183.96967649684,68833.22481012998,30624.916373728083,34779.93703167815,0.09104617271387005,[34.08189059 40.31701638 25.56609894 35.24022553  9.82950526 26.38002539 47.72242803 57.26292171 40.65226397 46.32236231 20.85707919 42.22654243  7.4163192  32.06582382 50.61962039]
150,20,1.0,0.05,2.0,70,1,14,43174984486442.61,2158749269252.0854,28775.854432009495,9409769702959.344,0.11902818353252209,[33.35473759 40.28413182  8.59511608 56.17526636 38.80399867 44.96826227 27.38823872 55.29674868 64.72839655 34.64813679 17.13630015 38.58173 35.5930209  49.20006623 49.54265008]
150,20,1.0,0.05,2.0,70,1,15,53862149903.96803,3161326143.432639,19516.19934253238,11803623690.092093,0.060507122831468765,[34.27648515 39.84509163 26.24598631 33.29436515 47.39969269 28.2197351 37.57319419 48.43663447 45.55972394 59.25961234 65.07183046 38.88750158 28.83106651 31.05380339 48.13834275]
150,20,1.0,0.05,2.0,70,1,16,4131293873.161017,329124988.9494691,18968.844370823517,1018277950.2411444,0.053426043789300506,[35.74822852 34.56117187 11.87521187 26.88518496 30.20869558 29.25172326 34.23287964 39.3964231  42.11906783 63.89211119 68.13740095 48.26005914 29.51386576 49.17691187 51.94989848]
