nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
150,20,0.8,0.05,2.0,70,3,0,1.7396439534097352e+55,8.698219767048698e+53,24455.616030701454,3.7914660953273074e+54,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,1,5539398542583.2,276970772132.7523,24455.616030701454,1207283728899.0056,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,2,5.066733233020514e+20,2.5333751859048542e+19,24455.616030701454,1.1042687102416819e+20,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,3,16815952.229603637,1543567.4128699924,24455.616030701454,3592999.030272245,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,4,1297188.216304531,521764.50783130387,24455.616030701454,451298.7266151661,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,5,815400.739819633,301709.6818434168,24455.616030701454,240158.68284075492,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,6,617898.0531299338,212394.33622091412,24455.616030701454,171574.53073098307,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,7,393342.69615693606,140978.01873194412,24455.616030701454,90401.9672243638,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,8,6.46871677479334e+51,3.2343583873966704e+50,24455.616030701454,1.4098241357855265e+51,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,9,8709262.628962653,567922.0067622641,24455.616030701454,1869380.4905326522,0.034859840810256726,[55.24692265 33.43174014 57.49027299 19.14986509 33.15892944 16.42939813 37.65647689 29.42568538 63.18953966 19.38705439 45.82261469 29.72857462  5.39265936 54.03667607 34.68515226]
150,20,0.8,0.05,2.0,70,3,10,365744.92191708303,119153.13932037572,23306.694332870167,81142.04929188616,0.11581268970980214,[43.57491715 60.26611908 53.22295303 60.79382944 34.06959618 39.75277231 53.60141241 18.22224567 60.1080725  40.64347819 21.15315203 48.24658593 29.23972994 31.48182233 42.22467705]
150,20,0.8,0.05,2.0,70,3,11,141422.19882974608,73525.06265351195,23306.694332870167,34516.11276666733,0.11581268970980214,[43.57491715 60.26611908 53.22295303 60.79382944 34.06959618 39.75277231 53.60141241 18.22224567 60.1080725  40.64347819 21.15315203 48.24658593 29.23972994 31.48182233 42.22467705]
150,20,0.8,0.05,2.0,70,3,12,340932.22893427534,78636.32644993937,22805.60025782751,77782.6760569252,0.1254614612879794,[43.48386504 54.82381709 30.14403051 40.54580986 40.30822651 43.84210606 53.64018123 43.51164864 58.13030682 49.14781646 12.16561575 48.18133973 28.59095949 32.55909041 42.92431697]
