nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
70,20,0.8,0.05,2.0,110,3,0,8.485381074590216e+54,4.24269053729512e+53,5472.196994650776,1.8493459300785655e+54,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
70,20,0.8,0.05,2.0,110,3,1,468085085.9953032,23923409.347900704,5472.196994650776,101901883.04357284,0.034859840810256726,[86.81659274 52.53559164 90.34185755 30.09264514 52.10688913 25.81762564 59.17446368 46.24036275 99.29784803 30.46537118 72.00696594 46.71633154  8.47417899 84.91477668 54.50523926]
70,20,0.8,0.05,2.0,110,3,2,4279632.080036668,348711.6548425219,5248.095168785278,913754.8910704615,0.12249007079641386,[96.82858969 86.00175047 91.04129728 10.1147536  68.89630379 49.7604396 28.15877331 55.05013566 51.6092567  23.19005792 81.00841894 58.21877221 96.39614719 62.53342637 79.4971927 ]
70,20,0.8,0.05,2.0,110,3,3,1737544.2918493473,249802.8825766285,5248.095168785278,416317.72931715485,0.12249007079641386,[96.82858969 86.00175047 91.04129728 10.1147536  68.89630379 49.7604396 28.15877331 55.05013566 51.6092567  23.19005792 81.00841894 58.21877221 96.39614719 62.53342637 79.4971927 ]
70,20,0.8,0.05,2.0,110,3,4,2134168676.460142,106780942.30319348,2317.010667036201,465114659.985355,0.182356759234297,[95.2745482  68.76526866 54.47734252 76.39791262 53.5720806  99.31004951 51.68201319 92.67327131 38.3982095  64.99112288 56.95754872 78.26127946 52.45506002 60.31414662 85.02817624]
70,20,0.8,0.05,2.0,110,3,5,141649.79988869166,43938.43332394301,2317.010667036201,41600.301869880015,0.182356759234297,[95.2745482  68.76526866 54.47734252 76.39791262 53.5720806  99.31004951 51.68201319 92.67327131 38.3982095  64.99112288 56.95754872 78.26127946 52.45506002 60.31414662 85.02817624]
70,20,0.8,0.05,2.0,110,3,6,128972.25069212774,30056.065858246748,2317.010667036201,28210.377359799542,0.182356759234297,[95.2745482  68.76526866 54.47734252 76.39791262 53.5720806  99.31004951 51.68201319 92.67327131 38.3982095  64.99112288 56.95754872 78.26127946 52.45506002 60.31414662 85.02817624]
70,20,0.8,0.05,2.0,110,3,7,79841.61601902453,29534.348211490542,2135.591450334761,20703.891372431648,0.13570503114887159,[ 76.88191511  54.17836426  76.1738188   73.61119293  31.07618984 102.85879952  47.66071174 106.306579    34.49215342  70.16209866  82.33307196  77.91929008  57.07930725  71.32796065 107.12071442]
70,20,0.8,0.05,2.0,110,3,8,181976.92935238534,47173.45185313956,1690.0513479530111,51952.058079136565,0.13570503114887159,[ 76.88191511  54.17836426  76.1738188   73.61119293  31.07618984  38.8377662   47.66071174 106.306579    34.49215342  70.16209866  82.33307196  77.91929008  57.07930725  71.32796065 107.12071442]
70,20,0.8,0.05,2.0,110,3,9,137955.94911663857,26799.530924474733,1690.0513479530111,33831.13538932694,0.13570503114887159,[ 76.88191511  54.17836426  76.1738188   73.61119293  31.07618984  38.8377662   47.66071174 106.306579    34.49215342  70.16209866  82.33307196  77.91929008  57.07930725  71.32796065 107.12071442]
