nger,npop,cp,mp,xmaxc,xmax_edge,exec,g,worstFit,fit_avg,bestFit,desvPad,c,weights
70,50,1.0,0.01,2.0,90,4,0,5.256978200183757e+59,1.647130205384104e+58,11036.958832587397,8.093202204454086e+58,0.3265050917160044,[83.24037229 72.52303591 89.09652862 88.71854571 77.88958322 46.16048821 26.55348933 87.83714691 22.64045989 48.51563899 46.94403134 88.35734027 70.10801861 60.09207668 59.72389328]
70,50,1.0,0.01,2.0,90,4,1,5.8644875157465e+52,1.1728993453967698e+51,11036.958832587397,8.210282258875075e+51,0.3265050917160044,[83.24037229 72.52303591 89.09652862 88.71854571 77.88958322 46.16048821 26.55348933 87.83714691 22.64045989 48.51563899 46.94403134 88.35734027 70.10801861 60.09207668 59.72389328]
70,50,1.0,0.01,2.0,90,4,2,1.2439569869405428e+29,2.505826998049367e+27,11036.958832587397,1.7413290074253913e+28,0.3265050917160044,[83.24037229 72.52303591 89.09652862 88.71854571 77.88958322 46.16048821 26.55348933 87.83714691 22.64045989 48.51563899 46.94403134 88.35734027 70.10801861 60.09207668 59.72389328]
70,50,1.0,0.01,2.0,90,4,3,1.7565487684560802e+22,3.515158685940405e+20,11036.958832587397,2.459139191321405e+21,0.3265050917160044,[83.24037229 72.52303591 89.09652862 88.71854571 77.88958322 46.16048821 26.55348933 87.83714691 22.64045989 48.51563899 46.94403134 88.35734027 70.10801861 60.09207668 59.72389328]
70,50,1.0,0.01,2.0,90,4,4,2.045826748964631e+24,4.094960449130008e+22,9699.9954262257,2.8641111397925473e+23,0.014667058013570445,[59.34489583 48.95673091 55.11336793 18.66384447 62.08031672 53.53430808 57.09185197 40.77492771 66.32482949 20.96916547 17.64370637 36.4431256 31.54850748 78.10294715 42.01860137]
70,50,1.0,0.01,2.0,90,4,5,22982006.891793244,1102027.266863822,7507.073711573991,3380221.7111168103,0.05098993196073681,[63.16094223 40.53079698 67.48330459 53.38076876 62.87164244 51.62879664 58.36290759 83.42627409 66.84352485 52.22364606 55.64676109 49.64963048 52.94234842 36.99546582 51.42636815]
70,50,1.0,0.01,2.0,90,4,6,1431343.766248494,231715.66112225153,7507.073711573991,309740.53869788337,0.05098993196073681,[63.16094223 40.53079698 67.48330459 53.38076876 62.87164244 51.62879664 58.36290759 83.42627409 66.84352485 52.22364606 55.64676109 49.64963048 52.94234842 36.99546582 51.42636815]
70,50,1.0,0.01,2.0,90,4,7,1120307.1885134492,172009.20607255676,7507.073711573991,236050.55681539455,0.05098993196073681,[63.16094223 40.53079698 67.48330459 53.38076876 62.87164244 51.62879664 58.36290759 83.42627409 66.84352485 52.22364606 55.64676109 49.64963048 52.94234842 36.99546582 51.42636815]
70,50,1.0,0.01,2.0,90,4,8,1221384.1209904111,144745.59067450583,7507.073711573991,217206.93111028805,0.05098993196073681,[63.16094223 40.53079698 67.48330459 53.38076876 62.87164244 51.62879664 58.36290759 83.42627409 66.84352485 52.22364606 55.64676109 49.64963048 52.94234842 36.99546582 51.42636815]
70,50,1.0,0.01,2.0,90,4,9,62812801059.44337,1256346861.9960601,6040.058413724746,8793779171.630281,0.08206600487574568,[75.66653216 35.7744919  34.64827034 35.6952118  77.54933903 51.66606829 49.54109099 55.55652744 60.21947493 48.55215123 49.61446963 63.4455557 55.32765695 84.50043455 67.97849754]
70,50,1.0,0.01,2.0,90,4,10,302084.9927486466,72125.75620923734,2257.863125872819,59842.334626901196,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
70,50,1.0,0.01,2.0,90,4,11,426033.8212214892,70132.42709889835,2257.863125872819,72259.86011175708,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
70,50,1.0,0.01,2.0,90,4,12,327427.8238306358,62399.06369604291,2257.863125872819,68054.8061747629,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
70,50,1.0,0.01,2.0,90,4,13,87405.28720094736,33087.05279923635,2257.863125872819,19132.267135006197,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
70,50,1.0,0.01,2.0,90,4,14,179968.74829842776,41144.4744116698,2257.863125872819,32016.11279932199,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
70,50,1.0,0.01,2.0,90,4,15,102169.27266741755,39346.584086390816,2257.863125872819,27427.906545595088,0.04358367909822088,[71.68284914 39.8002586  32.59792068 41.87481566 81.85154883 35.52002355 41.07847772 60.96795311 63.80036403 49.7853201  54.56913549 45.48030247 68.63288177 82.91452553 85.43027909]
